型式,行政區,場名,位置,大車,小車,機車,收費標準,管理業者,聯絡電話,履約起迄
平面,岡山區,和平公園,大德一路、竹圍東路,0,22,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
平面,岡山區,平和岡燕,平和路6號對面,0,47,0,小車計時(15元/半小時),和雲行動服務股份有限公司,(07)3461515,111/09/01～116/08/31
平面,彌陀區,彌陀公園,中正西路與中正北路交叉口,0,33,13,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,
平面,橋頭區,仕興,仕豐路信義巷75號對面,0,32,0,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,
平面,橋頭區,建樹,中正路48巷19號旁,0,31,0,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,
平面,梓官區,蚵仔寮,"A區：漁港二路13號前(94格)
B區：中正路75號後面(62格)
C區：嘉好路26巷385弄口(7格)",0,163,72,A區小車計時(15元/半小時),"竑穗興業股份有限公司
全聯實業(公益認養)
","(07)2239489

","108/08/06～113/07/31

"
平面,楠梓區,歡樂17,軍校路&後昌路837巷口旁,0,36,22,小車計時(15元/半小時),日月亭股份有限公司,(07)2351637,112/06/01～117/05/31
平面,楠梓區,廣昌,右昌忠義9巷&廣昌街113巷,0,57,68,小車計次(30元/6小時),宜舍股份有限公司,(07)2351637,112/07/01～116/04/30
平面,楠梓區,立民,立民路、立仁路,0,32,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/09/01～115/08/31
平面,楠梓區,常德,常順路、常德街32巷,0,30,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/09/01～115/08/31
平面,楠梓區,常順,常順路32巷、當興街115巷,0,78,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/09/01～115/08/31
平面,楠梓區,青埔,青埔街50巷,0,39,16,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/08/01～115/07/31
平面,楠梓區,清豐,土庫二路與清豐三路口,0,44,92,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/08/01～115/07/31
平面,楠梓區,楠梓運動場,東寧路、楠裕街口,0,143,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/09/01～115/08/31
平面,楠梓區,樂群,樂群路、加宏路,0,34,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/08/01～115/07/31
平面,楠梓區,三山,三山街、福興街,0,99,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/09/01～115/08/31
平面,楠梓區,惠民,惠民路、壽豐路間,0,63,68,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/09/01～115/08/31
平面,楠梓區,加昌,加昌路、軍校路880巷31弄,0,96,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/08/01～115/07/31
平面,楠梓區,後昌,後昌路862-1號旁,0,13,10,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/08/01～115/07/31
平面,楠梓區,大昌,右昌街79巷、右昌街79巷132弄交叉口,0,13,0,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,111/01/01～115/12/31
平面,楠梓區,都會公園,德民路、高楠公路、監理南街,36,287,281,"小車計次(30元/6小時)
大車計次(60元/6小時)",日月亭股份有限公司,(07)2351637,111/01/01～115/12/31
平面,楠梓區,高楠公路,高楠公路1872巷,0,99,0,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,111/01/01～115/12/31
平面,楠梓區,清安,清安街29號旁,0,58,11,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,112/06/01～117/05/31
平面,楠梓區,惠豐,加昌路18巷,0,44,0,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,111/06/01～116/05/31
立體,左營區,"海功
(地下)",海功路57號,0,506,0,小車計時(15元/半小時),辰淵企業股份有限公司,(07)5820597,112/01/01～116/12/31
立體,左營區,"福山
(地下)",重信路35號,0,459,0,小車計時(5元/半小時),詮營股份有限公司,(02)77490655,109/04/01～114/03/31
平面,左營區,微笑,自由三路161號對面,0,145,0,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,109/10/01～114/09/30
平面,左營區,富民,富民路&太原街口旁,0,41,0,小車計時(15元/半小時),日月亭股份有限公司,(07)2351638,112/06/01～117/05/31
平面,左營區,龍華,大順一路&龍德新路口旁,0,54,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,108/10/01～113/07/31
平面,左營區,曾子,自由三路與曾子路路口,0,37,0,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,111/01/01～115/12/31
平面,左營區,左營站前,站前路&站前南路口,3,248,500,"機車計次(15元/日)
小車計時(15元/半小時)
大車計時(30元/半小時)",日月亭股份有限公司,(07)2351637,109/12/01～114/11/30
平面,左營區,"哈囉市場
(左營大路)",左營大路672巷與左營下路,0,166,0,小車計次(30元/6小時),台灣普客二四股份有限公司,0800888924,106/12/01～112/11/30
平面,左營區,左營北站,左營大路、進學路,0,54,0,小車計次(30元/6小時),俥亭事業股份有限公司,(07)6989439,
平面,左營區,重平,重平路、華夏路口,0,54,0,小車計時(15元/半小時),五都停車場股份有限公司,0923970000,110/02/01～115/01/31
平面,左營區,重和,重和路、華夏路口,0,160,0,小車計時(15元/半小時),五都停車場股份有限公司,0923970000,110/02/01～115/01/31
平面,左營區,華夏,華夏路、曾子路,0,36,0,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
平面,左營區,文水,文水路、華夏路,0,93,0,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
平面,左營區,辛亥,裕誠路、辛亥路,0,43,0,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/11/01～115/10/31
平面,左營區,環潭,環潭路332之1號旁,0,32,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,111/01/01～115/12/31
平面,左營區,海光,勝利路、新莊仔路口,17,89,129,"小車計次(30元/6小時)
大車計次(60元/6小時)",竑穗興業股份有限公司,(07)2239489,110/11/01～116/11/30
平面,左營區,舊左營國中,新庄子路、勝利路,0,141,0,小車計次(30元/6小時),,,
平面,左營區,榮光,榮光街、榮總路,0,26,24,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/11/01～115/10/31
平面,左營區,果貿市場,翠華路、中華一路,0,13,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/11/01～115/10/31
平面,左營區,東門,翠華路601巷&城峰路口旁,0,42,0,小車計次(30元/6小時),翔赫企業有限公司,0937626880,108/05/01～113/04/30
平面,左營區,埤子頭,左營大路6巷81號對面,0,46,0,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/06/01～116/04/30
立體,鼓山區,"鼓山國小
(地下)",鼓山區登山街與壽山街口旁,0,184,0,小車計時(15元/半小時),歐特儀股份有限公司,(07)5316253,110/03/31～115/03/30
立體,鼓山區,"美術館
(地上)","美術館路82號
(建物333格，外圍65格)",0,398,0,小車計次(30元/6小時),,(07)5224374,
平面,鼓山區,華泰,華泰路&華泰路211巷路口,0,32,0,小車計時(15元/半小時),宜舍股份有限公司,(07)2351637,112/07/01～116/04/30
平面,鼓山區,前峰,內惟路&銘傳路口旁,0,65,0,小車計次(30元/6小時),宜舍股份有限公司,(07)2351637,112/07/01～116/04/30
平面,鼓山區,河川,河川街&綠川街口,0,22,11,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鼓山區,濱海,濱海二路&臨海二路,0,26,36,計時(25元/半小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鼓山區,臨海二路,臨海二路&捷興街口,0,12,30,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鼓山區,南鼓山,臨海二路&捷興二街,0,28,0,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鼓山區,廣三,鼓山一路＆鼓元街＆鼓元街2巷,0,9,0,"小車平日計次(30元/ 6小時)
小車假日計時(20元/半小時)",,,
平面,鼓山區,哨船,哨船街85號&哨船街80-3號,0,21,9,小車計時(25元/半小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鼓山區,龍德,龍德新路&新德路口,0,39,0,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鼓山區,裕興,中華一路29巷20弄、近中華一路,0,22,0,小車計次(30元/6小時),,,
平面,鼓山區,厚泰,九如四路、厚安街口,0,61,0,-,,,
平面,鼓山區,柴山機車,青泉街、青泉街126巷口,0,0,150,-,,,
立體,三民區,"十全
(地上)",十全路6號,0,208,0,小車計時(15元/半小時),日月亭股份有限公司,(07)3807433,109/01/21～114/01/20
立體,三民區,"光武國小
(地下)",光武路35號,0,128,0,小車計時(15元/半小時),歐特儀股份有限公司,(07)3853903,111/11/17～116/11/16
平面,三民區,民族一路,民族一路、九如二路(民族陸橋下西側),0,110,12,小車計時(15元/半小時),日月亭股份有限公司,(07)2351637,109/10/01～114/09/30
平面,三民區,明仁,明仁路&明吉路口旁,0,111,0,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/12/01～115/11/30
平面,三民區,正興,正興路&正興路163巷口旁,0,139,46,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,108/03/01～113/03/31
平面,三民區,臥龍,九如一路&臥龍路口旁,0,28,0,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,108/08/01～113/07/31
平面,三民區,陽明,陽明路&義華路口旁,0,48,0,小車計時(15元/半小時),寶盛國際股份有限公司,(02)26550818,108/06/01～113/05/31
平面,三民區,澄東,文安南街&褒揚東街口旁,0,127,0,小車計時(15元/半小時),寶盛國際股份有限公司,(02)26550818,108/06/01～113/05/31
平面,三民區,寶華,陽明路16巷內,0,91,46,小車計時(15元/半小時),日月亭股份有限公司,(07)2351637,111/01/01～115/12/31
平面,三民區,本和,鼎勇街&大園街口旁,0,153,0,小車計次(30元/6小時),宜舍股份有限公司,(07)2351637,112/06/01～116/04/30
平面,三民區,金鼎,金山路&金山路18巷,0,36,0,小車計次(30元/6小時),宜舍股份有限公司,(07)2351637,112/06/01～116/04/30
平面,三民區,鼎泰,裕誠路、鼎瑞街,0,62,83,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/09/01～115/08/31
平面,三民區,金山,金山路、金山路360巷,0,8,17,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/09/01～115/08/31
平面,三民區,三民二號公園,同協路、安東街口,0,51,25,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/09/01～115/08/31
平面,三民區,皓東,正忠路&皓東路17巷口,0,89,0,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,三民區,金獅湖,鼎金一巷蝴蝶園旁,0,37,42,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,三民區,龍江公園,龍江街、復興一路口,0,29,47,小車計時(15元/半小時),日月亭股份有限公司,(07)2351637,111/01/01～115/12/31
平面,仁武區,竹後,水管路北側、竹後社區活動中心旁,0,36,0,小車計次(30元/6小時),和雲行動服務股份有限公司,(07)3461515,109/04/01～114/03/31
平面,仁武區,八卦里,永仁街、永新二街,0,60,12,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
平面,仁武區,澄德段停一,八德東路與京吉6路,0,114,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
平面,仁武區,仁和公園,仁和公園內,0,55,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
平面,仁武區,慈惠,赤仁路60號對面,0,59,0,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,111/01/01～115/12/31
平面,仁武區,八德小車,八德南路與京吉一路口,0,122,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
平面,仁武區,八德大車,八德南路&澄觀路口旁,79,0,0,大車計次(60元/6小時),國雲科技股份有限公司,0800779979,112/07/01～118/06/30
平面,仁武區,澄觀大車,八德西路&京富路口,149,10,0,"小車計次(30元/6小時)
大車計次(60元/6小時)",國雲科技股份有限公司,0800779979,112/07/01～118/06/30
平面,仁武區,仁慈公園,仁慈公園旁,0,35,0,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,
平面,仁武區,"澄仁
(仁雄停十一)",澄仁路56巷旁,0,40,48,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,
平面,仁武區,"慈惠六街
(育才公21)",慈惠六街,0,119,0,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,
平面,仁武區,金鼎段停九,大灣綜合活動中心前,0,81,0,小車計次(30元/6小時),,,
平面,仁武區,澄合段停九,八德東路笙曜企業有限公司仁武廠旁,0,59,0,小車計次(30元/6小時),全盈光電有限公司,0800035518,111/09/01～121/07/31
平面,仁武區,澄觀段停八,京富路、京文街口,0,66,0,小車計次(30元/6小時),日月亭股份有限公司,(07)2351637,111/01/01～115/12/31
立體,新興區,"忠孝
(地下)",忠孝一路331號,0,568,0,小車計時(15元/半小時),日月亭股份有限公司,(07)2351637,107/08/01～112/07/31
立體,新興區,"民權輕鋼架
(地上)",民權一路221號,0,256,203,小車計時(15元/半小時),日月亭股份有限公司,(07)2292017,110/11/01～115/10/31
立體,新興區,"財稅大樓
(地下)",中正三路25號,0,131,0,小車計時(15元/半小時),歐特儀股份有限公司,(07)2291941,111/07/01～116/06/30
平面,新興區,忠孝一路,中正三路&忠孝一路,0,40,7,小車計時(15元/半小時),宜舍股份有限公司,(07)2351637,112/07/01～116/05/31
平面,新興區,錦田機車,中正三路&錦田路,0,0,124,不收費,,,
立體,前金區,"自強
(地下)",文武一街65號,0,305,0,小車計時(15元/半小時),歐特儀股份有限公司,(07)2150135,109/05/01～114/04/30
平面,前金區,六合夜市,六合二路&瑞源路,14,35,0,小車計時(15元/半小時),日月亭股份有限公司,(07)5314002,109/11/01～114/10/31
平面,前金區,自強三路,自強三路&光明街,0,50,0,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,前金區,成功機車,成功一路&前金二街,0,0,60,-,,,
立體,鹽埕區,"鹽埕
(地上)",大仁路10號,0,931,0,小車計時(15元/半小時),俥亭事業股份有限公司,(07)5314002,108/10/01～112/09/30
平面,鹽埕區,公園,公園路&大義街,10,346,692,"機車計次(15元/日)
小車平日計次(50元/6小時)
小車假日小車計時(15元/半小時)
大車計時(30元/半小時)",阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
立體,苓雅區,"文化中心
(地下)",五福一路67號,0,830,0,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2253643,108/07/01～113/06/30
立體,苓雅區,"凱旋
(地下)",凱旋二路130號,0,559,0,小車計時(10元/半小時),歐特儀股份有限公司,0933103225,110/04/01～115/03/31
立體,苓雅區,"武廟
(地上)",輔仁路123號,0,121,180,小車計時(15元/半小時),歐特儀股份有限公司,(07)7164421,109/05/09～114/05/08
立體,苓雅區,"四維
(地上)",苓雅一路226號,0,819,1004,小車計時(15元/半小時),,(07)3355062,
平面,苓雅區,苓中,苓雅一路&文橫二路,0,69,47,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,苓雅區,輔仁,輔仁路&輔仁路89巷,0,27,46,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,苓雅區,允文,允文街&永明街,0,13,16,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/09/01～115/08/31
平面,苓雅區,福裕,福德三路&福德三路133巷,0,114,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/09/01～115/08/31
平面,苓雅區,英明,英明路&英明路163巷,0,96,32,小車計時(15元/半小時),日月亭股份有限公司,(07)2351637,109/11/01～114/10/31
平面,苓雅區,同慶,凱旋路&同慶路,0,111,94,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/12/01～115/11/30
平面,苓雅區,金馬,三多一路&輔仁路,13,178,28,"小車計時(15元/半小時)
大車計時(30元/半小時)",竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
平面,苓雅區,林德官,廣州一街&廣東一街3巷&三多二路&和平一路11巷&和平一路39巷,0,228,24,小車計時(15元/半小時),日月亭股份有限公司,(07)2351637,109/10/01～114/09/30
平面,苓雅區,正德,福德二路264巷&建國一路140巷25弄,0,14,0,小車計次(30元/6小時),和雲行動服務股份有限公司,(02)25171453,109/09/16～114/09/15
平面,苓雅區,福德,建國一路&福德二路,0,35,55,小車計時(15元/半小時),日月亭股份有限公司,(07)2351637,109/11/01～114/10/31
平面,苓雅區,樂仁,樂仁路125巷6弄&大順三路305巷,0,24,0,小車計時(15元/半小時),,,
平面,苓雅區,建軍,三多一路&建軍路,0,46,22,小車計時(15元/半小時),,,
平面,苓雅區,正憲,憲政路242巷&安康路20巷,0,52,0,小車計次(30元/6小時),,,
立體,鳳山區,"鳳山運動園區
(地下)",體育路65號,0,614,0,小車計時(15元/半小時),日月亭股份有限公司,(07)7193409,111/05/23～116/05/22
立體,鳳山區,"五甲國宅社區
(地下)",國隆路6號(社區大公園地下1~2層),0,204,0,小車計次(30元/6小時),日月亭股份有限公司,(07)7636295,111/01/01～115/12/31
平面,鳳山區,竹子腳,瑞竹路&瑞順街,0,17,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/08/01～115/07/31
平面,鳳山區,二聖,二聖路&凱旋三路,0,120,0,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/08/01～115/07/31
平面,鳳山區,"鳳山行政中心
西側",光復路二段&建軍路口,0,317,186,"機車計次(10元/日)
小車計時(15元/半小時)",俥亭事業股份有限公司,(07)7161838,108/01/01～112/12/31
平面,鳳山區,衛武營東側,南京路&國興街口,0,95,120,"機車計次(15元/日)
小車計時(15元/半小時)",俥亭事業股份有限公司,(07)7161838,112/01/01～116/03/31
平面,鳳山區,五甲社區,國富路&國富路21巷口北側,0,176,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,108/04/01～113/03/31
平面,鳳山區,五甲七老爺,五甲二路105巷&五甲二路149巷,22,77,0,"小車計時(15元/半小時)
大車計時(30元/半小時)",竑穗興業股份有限公司,(07)2239489,108/07/31～113/07/31
平面,鳳山區,鳳山田中央,鳳頂路&田中央路,0,28,10,小車計次(30元/6小時),中工公寓大廈管理維護有限公司,0800618198,108/08/19～113/08/31
平面,鳳山區,五甲,國光路65巷&國光路,0,45,0,小車計次(30元/6小時),和雲行動服務股份有限公司,(02)25171453,109/10/01～114/09/30
平面,鳳山區,北昌,北昌二街&北昌路,0,106,67,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鳳山區,國泰青年,光華路&協利街,0,514,0,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鳳山區,中崙,中崙二路&中崙三路,0,150,0,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鳳山區,鳳陽,瑞智街&瑞大街,0,37,20,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鳳山區,鳳甲,鳳甲二街&過埤路,0,80,0,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鳳山區,頂新,頂庄路&頂新五街,0,26,0,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鳳山區,頂明,頂庄路&頂明路,0,56,0,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鳳山區,南成,南和一路&和成路,0,73,0,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鳳山區,福誠,福誠三街&福誠五街,0,46,52,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,109/07/01～113/12/31
平面,鳳山區,瑞興,瑞光路&瑞光街,0,237,0,小車計次(30元/6小時),和雲行動服務股份有限公司,(02)25171453,109/06/01～116/11/30
平面,鳳山區,忠誠,鳳北路&鳳北路108巷&北榮街61巷,0,20,10,小車計次(30元/6小時),,,
平面,鳳山區,黃埔新村,中山東路&維武路,0,49,0,小車計次(30元/6小時),,,
平面,鳳山區,鳳頂,鳳頂路&過埤路,0,64,30,小車計次(30元/6小時),環球大宇宙太陽能工業有限公司,0980889269,110/06/01～120/04/30
平面,鳳山區,鳳山捷運站機車,捷運鳳山站1號出口旁,0,0,172,-,,,
平面,鳳山區,鳳中捷運站機車,捷運鳳山國中站1號出口旁,0,0,294,-,,,
平面,鳳山區,鳳山轉運站機車,鳳山轉運站北側&大東公園西側,0,0,102,-,,,
平面,鳳山區,五甲停二機車,國光路&國昌路,0,0,42,-,,,
平面,鳳山區,五甲停三機車,凱旋路&凱旋路341巷,0,0,91,-,,,
平面,鳥松區,勞工公園,長庚路北側,0,198,292,小車計時(15元/半小時),和雲行動服務股份有限公司,(02)25171453,109/04/01～114/03/31
平面,鳥松區,永興,本華路&永善路口,0,45,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
平面,鳥松區,觀湖,公園路&近山明街(消防隊旁),0,80,0,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,110/09/16～115/09/15
平面,鳥松區,澄清湖西側,澄清湖風景區大門左側,0,18,0,小車計次(30元/6小時),阜爾運通股份有限公司,(07)2239489,110/09/16～115/09/15
平面,鳥松區,神農,江埤路&美德二街,0,130,115,-,,,
平面,鳥松區,育英,琅環二街&育成三街,0,52,0,-,,,
平面,鳥松區,仁倉,美山路156號旁&神農路,8,16,0,-,,,
平面,鳥松區,松埔,松埔路37巷8弄&松埔路37巷,0,22,0,-,,,
立體,前鎮區,"盛興
(地下)",林森三路145號,0,382,0,小車計時(15元/半小時),,(07)3315303,
立體,前鎮區,"民權
(地下)",泰山街1號,0,479,0,小車計時(15元/半小時),詮營股份有限公司,(02)77490656,109/10/01～114/09/30
平面,前鎮區,君毅,正勤路旁(靠近君毅正勤社區之正勤路出入口),0,47,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,108/04/01～113/03/31
平面,前鎮區,沱江,管仲路&沱江街口,0,78,0,小車計時(15元/半小時),宜舍股份有限公司,(07)2351637,112/07/01～116/04/30
平面,前鎮區,英德街,和平二路&英德街口旁,0,85,25,小車計時(15元/半小時),宜舍股份有限公司,(07)2351637,112/06/01～116/04/30
平面,前鎮區,正勤中華,中華五路&正勤路口旁,4,58,0,"小車計時(15元/半小時)
大車計時(30元/半小時)",國雲科技股份有限公司,0800779979,
平面,前鎮區,正勤中山,中山三路&正勤路口旁,0,63,215,小車計時(15元/半小時),日月亭股份有限公司,(07)2351637,109/11/01～114/10/31
平面,前鎮區,獅甲,復興三路近中華五路,0,46,17,小車計時(15元/半小時),歐特儀股份有限公司,0903135731,112/01/01～116/12/31
平面,前鎮區,時代大道,中華五路與時代大道口,0,48,0,小車計時(15元/半小時),歐特儀股份有限公司,0903135731,111/11/01～116/10/31
平面,前鎮區,時代大道第二,"A區：時代大道、時代南二路口(64格)
B區：時代大道、時代南一路口(85格)",0,149,93,小車計時(15元/半小時),國雲科技股份有限公司,0800779979,
平面,前鎮區,德昌,德昌路、同安路,0,43,16,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,112/01/01～116/12/31
